연번,주차장 위치,주차장 주소,법정동,설치일자,데이터기준일자
126,그린빌 아파트 산책로 입구,천안시 서북구 백석동 912,백석동,2023년,2024-05-29
127,삼성SDI 앞,천안시 서북구 백석동 1126,백석동,2023년,2024-05-29
128,이마트 서북점 버스정류장 인근,천안시 서북구 백석동 1145,백석동,2023년,2024-05-29
129,도시바람길숲 불당광장 인근,천안시 서북구 불당동 681,불당동,2023년,2024-05-29
130,불당상업지구 버스정류장 인근,천안시 서북구 불당동 721,불당동,2023년,2024-05-29
131,불당현대아이파크 버스정류장 인근,천안시 서북구 불당동 722,불당동,2023년,2024-05-29
132,제주미작 사잇길 내부,천안시 서북구 불당동 1114,불당동,2023년,2024-05-29
133,장재천 농구장 인근,천안시 서북구 불당동 940,불당동,2023년,2024-05-29
134,추자횟집 앞,천안시 서북구 불당동 1115,불당동,2023년,2024-05-29
135,불당동일하이빌 버스정류장 인근,천안시 서북구 불당동 746,불당동,2023년,2024-05-29
136,불당동일하이빌 산책로 입구,천안시 서북구 불당동 745,불당동,2023년,2024-05-29
137,철교 삼거리 경사로,천안시 서북구 불당동 743,불당동,2023년,2024-05-29
138,불당리더힐스 버스정류장 인근,천안시 서북구 불당동 1866,불당동,2023년,2024-05-29
139,육교 농협 앞,천안시 서북구 불당동 1882,불당동,2023년,2024-05-29
140,불당동성당 앞 사잇길,천안시 서북구 불당동 887,불당동,2023년,2024-05-29
141,제주미작 옆 사잇길,천안시 서북구 불당동 1115,불당동,2023년,2024-05-29
142,CGV 앞 육교 아래,천안시 서북구 불당동 668-1,불당동,2023년,2024-05-29
143,불당대동다숲 버스정류장 인근,천안시 서북구 불당동 744,불당동,2023년,2024-05-29
144,맘스터치 앞,천안시 서북구 불당동 723,불당동,2023년,2024-05-29
145,천안시청 서북구보건소 버스정류장 인근,천안시 서북구 불당동 236-32,불당동,2023년,2024-05-29
146,제이앤하우스 앞,천안시 서북구 성정동 1105,성정동,2023년,2024-05-29
147,GS칼텍스 주유소 인근,천안시 서북구 성정동 908,성정동,2023년,2024-05-29
148,신한은행 앞,천안시 서북구 성정동 1535,성정동,2023년,2024-05-29
149,서부대로 사거리,천안시 서북구 성정동 785,성정동,2023년,2024-05-29
150,구상골사거리 버스정류장 인근,천안시 서북구 성정동 748,성정동,2023년,2024-05-29
151,모두투어 인근,천안시 서북구 성정동 1537,성정동,2023년,2024-05-29
152,수바이크 맞은편,천안시 서북구 성정동 208-14,성정동,2023년,2024-05-29
153,성성호수공원 인근,천안시 서북구 성성동 817,성성동,2023년,2024-05-29
154,성성호수공원 인근,천안시 서북구 성성동 817,성성동,2023년,2024-05-29
155,파크밸리 동일하이빌 정문 앞,천안시 서북구 쌍용동 2109,쌍용동,2023년,2024-05-29
156,나사렛대학교 정문 버스정류장 인근,천안시 서북구 쌍용동 1899,쌍용동,2023년,2024-05-29
157,삼일육아원 버스정류장 인근,천안시 서북구 쌍용동 220-2,쌍용동,2023년,2024-05-29
158,삼일육아원 버스정류장 맞은편,천안시 서북구 쌍용동 220-77,쌍용동,2023년,2024-05-29
159,주공7단지 버스정류장 인근,천안시 서북구 쌍용동 1351,쌍용동,2023년,2024-05-29
160,쌍용동성당 주차장 인근,천안시 서북구 쌍용동 1261,쌍용동,2023년,2024-05-29
161,쌍용공원 정문,천안시 서북구 쌍용동 315-9,쌍용동,2023년,2024-05-29
162,시영1차아파트 버스정류장 인근(이가대게),천안시 서북구 쌍용동 286-11,쌍용동,2023년,2024-05-29
163,한라동백아파트 버스정류장 인근,천안시 서북구 쌍용동 779,쌍용동,2023년,2024-05-29
164,IBK 기업은행 앞,천안시 서북구 쌍용동 889-2,쌍용동,2023년,2024-05-29
165,불당동 보행육교 밑,천안시 서북구 불당동 1882,불당동,2023년,2024-05-29
166,불당동 유적공원 입구,천안시 서북구 불당동 786,불당동,2023년,2024-05-29
167,호반더퍼스트 정류장,천안시 서북구 불당동 1719,불당동,2023년,2024-05-29
168,라인 인테리어 앞,천안시 서북구 불당동 786,불당동,2023년,2024-05-29
169,GS 칼텍스 앞,천안시 서북구 성성동 411-7,성성동,2023년,2024-05-29
170,성성동 육교 밑,천안시 서북구 성성동 974,성성동,2023년,2024-05-29
171,나사렛대학교 인도1,천안시 서북구 쌍용동 1562,쌍용동,2023년,2024-05-29
172,나사렛대학교 인도2,천안시 서북구 쌍용동 1562,쌍용동,2023년,2024-05-29
173,용암지하차도,천안시 서북구 쌍용동 2034,쌍용동,2023년,2024-05-29
174,구성육교 밑,천안시 동남구 구성동 258-3,구성동,2024년,2024-05-29
175,명륜진사갈비 앞 휀스,천안시 동남구 구성동 388-78,구성동,2024년,2024-05-29
176,미라클 PC방 변압기 옆,천안시 동남구 구성동 476-4,구성동,2024년,2024-05-29
177,구성삼거리육교 밑,천안시 동남구 구성동 490,구성동,2024년,2024-05-29
178,극동스타클래스더퍼스트 버스정류장,천안시 동남구 다가동 467,다가동,2024년,2024-05-29
179,공영주차장 입구,천안시 동남구 대흥동 300-10,대흥동,2024년,2024-05-29
180,"GS 편의점, 공중전화부스 옆",천안시 동남구 대흥동 30-7,대흥동,2024년,2024-05-29
181,한올 ENG 건물 앞,천안시 동남구 문화동 162,문화동,2024년,2024-05-29
182,태양 오토바이 앞,천안시 동남구 봉명동 224,봉명동,2024년,2024-05-29
183,순청향생명연구원 앞,천안시 동남구 봉명동 39-9,봉명동,2024년,2024-05-29
184,하늘소망교회 앞,천안시 동남구 봉명동 40-26,봉명동,2024년,2024-05-29
185,남포동칼국수 앞,천안시 동남구 사직동 240-1,사직동,2024년,2024-05-29
186,태광종합하드웨어 인도,천안시 동남구 사직동 287-2,사직동,2024년,2024-05-29
187,광고판 앞,천안시 동남구 신방동 787-4,신방동,2024년,2024-05-29
188,일룸 앞 곡선부,천안시 동남구 신방동 788-7,신방동,2024년,2024-05-29
189,교통섬 녹지 앞,천안시 동남구 신방동 875,신방동,2024년,2024-05-29
190,삼일원앙아파트 버스정류장 인근,천안시 동남구 신방동 904,신방동,2024년,2024-05-29
191,도로 반사경 옆,천안시 동남구 신부동 221-8,신부동,2024년,2024-05-29
192,대림한내 포레나신부 버스정류장 옆,천안시 동남구 신부동 313-13,신부동,2024년,2024-05-29
193,미술학원 입구,천안시 동남구 신부동 388-4,신부동,2024년,2024-05-29
194,펫샵 버스정류장 인근,천안시 동남구 신부동 425-9,신부동,2024년,2024-05-29
195,LG U플러스 앞,천안시 동남구 신부동 462-8,신부동,2024년,2024-05-29
196,등촌샤브칼국수 앞 인도,천안시 동남구 신부동 494-5,신부동,2024년,2024-05-29
197,태조산육교 밑2,천안시 동남구 신부동 56-31,신부동,2024년,2024-05-29
198,호암빌딩 앞,천안시 동남구 신부동 82-11,신부동,2024년,2024-05-29
199,평화의 소녀상 입구,천안시 동남구 신부동 824,신부동,2024년,2024-05-29
200,대림한숲아파트 버스정류장 입구,천안시 동남구 신부동 824,신부동,2024년,2024-05-29
201,롯데프레시 앞,천안시 동남구 신부동 84-1,신부동,2024년,2024-05-29
202,불타는 토스트 앞,천안시 동남구 안서동 371-46,안서동,2024년,2024-05-29
203,안서코아루 아파트 공터,천안시 동남구 안서동 534-170,안서동,2024년,2024-05-29
204,태조산육교 밑,천안시 동남구 원성동 10-13,원성동,2024년,2024-05-29
205,GS 더프레시 횡단보도 옆,천안시 동남구 원성동 127-9,원성동,2024년,2024-05-29
206,유량육교 밑,천안시 동남구 원성동 484-2,원성동,2024년,2024-05-29
207,LG 베스트샵 앞,천안시 동남구 원성동 602,원성동,2024년,2024-05-29
208,육교 밑,천안시 동남구 청당동 22-23,청당동,2024년,2024-05-29
209,도미노피자 인근,천안시 동남구 청당동 949,청당동,2024년,2024-05-29
210,우미린아파트 버스정류장 인근,천안시 동남구 청당동 949,청당동,2024년,2024-05-29
211,주차장 앞 인도 휀스,천안시 동남구 청당동 951,청당동,2024년,2024-05-29
212,교량 밑 휀스,천안시 동남구 청당동 952,청당동,2024년,2024-05-29
213,"나비플로라 앞, 청수6로",천안시 동남구 청당동 958,청당동,2024년,2024-05-29
214,"세비앙 앞, 청수6로",천안시 동남구 청당동 958,청당동,2024년,2024-05-29
215,육교 밑,천안시 동남구 청당동 975,청당동,2024년,2024-05-29
216,청수극동1차아파트 버스정류장 옆,천안시 동남구 청수동 207-1,청수동,2024년,2024-05-29
217,대전충남양돈농협 앞,천안시 동남구 청수동 431,청수동,2024년,2024-05-29
218,GS25 편의점 앞(곡선부),천안시 서북구 두정동 1320,두정동,2024년,2024-05-29
219,주차장 앞 인도,천안시 서북구 두정동 1334,두정동,2024년,2024-05-29
220,노블레스텔 앞,천안시 서북구 두정동 1350,두정동,2024년,2024-05-29
221,국민전집 맞은편,천안시 서북구 두정동 1354,두정동,2024년,2024-05-29
222,한화 포레나 천안노태 분양홍보관 맞은편,천안시 서북구 두정동 1355,두정동,2024년,2024-05-29
223,굿모닝 치과의원 앞,천안시 서북구 두정동 1434,두정동,2024년,2024-05-29
224,유료주차장 앞,천안시 서북구 두정동 1445,두정동,2024년,2024-05-29
225,동서대로 서부대로 사거리,천안시 서북구 두정동 1778,두정동,2024년,2024-05-29
226,블루더카페 맞은편 횡단보도,천안시 서북구 두정동 1778,두정동,2024년,2024-05-29
227,천안두정2 행복주택아파트 앞,천안시 서북구 두정동 1823,두정동,2024년,2024-05-29
228,포레나 천안두정 방음벽계단 인근,천안시 서북구 두정동 2075,두정동,2024년,2024-05-29
229,코아루아파트 버스정류장 인근,천안시 서북구 두정동 447-3,두정동,2024년,2024-05-29
230,역말오거리 천안희망초 버스정류장 휀스 인도,천안시 서북구 두정동 462-1,두정동,2024년,2024-05-29
231,리즈핏 피트니스 앞,천안시 서북구 두정동 945,두정동,2024년,2024-05-29
232,천안 천성교회 맞은편,천안시 서북구 백석동 251,백석동,2024년,2024-05-29
233,백석산업단지 앞,천안시 서북구 백석동 723,백석동,2024년,2024-05-29
234,육교 밑,천안시 서북구 백석동 729-2,백석동,2024년,2024-05-29
235,백석로 동서대로 인접 사거리,천안시 서북구 백석동 772,백석동,2024년,2024-05-29
236,천안종합운동장 주차장 입구,천안시 서북구 백석동 918,백석동,2024년,2024-05-29
237,백석1길 오르막길 인도,천안시 서북구 백석동 918,백석동,2024년,2024-05-29
238,천안종합운동장 북문 입구,천안시 서북구 백석동 918,백석동,2024년,2024-05-29
239,부성 행복주택아파트 입구 / 천안대로 연결부2,천안시 서북구 부대동 1001,부대동,2024년,2024-05-29
240,방음벽 앞 인도,천안시 서북구 부대동 1005,부대동,2024년,2024-05-29
241,부성 행복주택아파트 입구 / 천안대로 연결부,천안시 서북구 부대동 1005,부대동,2024년,2024-05-29
242,부성1동 행정복지센터 버스정류장 옆,천안시 서북구 부대동 1027,부대동,2024년,2024-05-29
243,연결 사잇길 인도,천안시 서북구 부대동 1120,부대동,2024년,2024-05-29
244,현대오일뱅크주유소 앞,천안시 서북구 부대동 1135,부대동,2024년,2024-05-29
245,버스정류장 옆,천안시 서북구 부대동 983,부대동,2024년,2024-05-29
246,원형육교,천안시 서북구 불당동 1265,불당동,2024년,2024-05-29
247,불당1교 앞,천안시 서북구 불당동 1446,불당동,2024년,2024-05-29
248,상가 앞 휀스 인도,천안시 서북구 불당동 1498,불당동,2024년,2024-05-29
249,"다이소, 어울림아파트 사이 인도",천안시 서북구 불당동 1864,불당동,2024년,2024-05-29
250,트윈팰리스 버스정류장 뒷편,천안시 서북구 불당동 680,불당동,2024년,2024-05-29
251,불당아이파크 아파트 산책로,천안시 서북구 불당동 722,불당동,2024년,2024-05-29
252,불당1동 행정복지센터 맞은편 버스정류장 옆,천안시 서북구 불당동 740,불당동,2024년,2024-05-29
253,홈플러스 익스프레스 앞 인도(휀스),천안시 서북구 불당동 740,불당동,2024년,2024-05-29
254,불당동 유적공원 횡단보도 옆,천안시 서북구 불당동 815,불당동,2024년,2024-05-29
255,서당초 앞,천안시 서북구 불당동 817,불당동,2024년,2024-05-29
256,장재천 버스정류장 옆,천안시 서북구 불당동 832,불당동,2024년,2024-05-29
257,삼성 SDI 앞,천안시 서북구 성성동 413-9,성성동,2024년,2024-05-29
258,지하도 입구 뒷편,천안시 서북구 성성동 733,성성동,2024년,2024-05-29
259,천안시티자이아파트 인도,천안시 서북구 성성동 893,성성동,2024년,2024-05-29
260,육교 밑,천안시 서북구 성성동 973,성성동,2024년,2024-05-29
261,"삼성대로, 성성7로 교차지점",천안시 서북구 성성동 993,성성동,2024년,2024-05-29
262,LG전자 베스트샵 주차장 인도,천안시 서북구 성정동 1536,성정동,2024년,2024-05-29
263,성정평생학습관 버스정류장 인근,천안시 서북구 성정동 1546,성정동,2024년,2024-05-29
264,농협 주차장 입구,천안시 서북구 성정동 1549,성정동,2024년,2024-05-29
265,프라지움 분양홍보관 앞,천안시 서북구 성정동 1554,성정동,2024년,2024-05-29
266,외암마을 앞,천안시 서북구 성정동 201-23,성정동,2024년,2024-05-29
267,김명장 남원추어탕 출입로,천안시 서북구 성정동 208-9,성정동,2024년,2024-05-29
268,우방아이유쉘아파트 버스정류장 옆,천안시 서북구 성정동 90-18,성정동,2024년,2024-05-29
269,나사렛대학교 앞,천안시 서북구 쌍용동 1562,쌍용동,2024년,2024-05-29
270,용암지하차도 인근,천안시 서북구 쌍용동 1899,쌍용동,2024년,2024-05-29
271,KG모빌리티 맞은편,천안시 서북구 쌍용동 440-2,쌍용동,2024년,2024-05-29
272,충무로,천안시 서북구 쌍용동 440-25,쌍용동,2024년,2024-05-29
273,49소갈비살/현대자동차 앞,천안시 서북구 쌍용동 450-2,쌍용동,2024년,2024-05-29
274,광혜당 약국 앞 공중전화 부스 옆,천안시 서북구 쌍용동 824,쌍용동,2024년,2024-05-29
275,광고판 앞,천안시 서북구 와촌동 178,와촌동,2024년,2024-05-29
